Date,Year,Month,Day,Open Price,Low Price,High Price,AVG Price,Close Price,Volume
2022-01-03,2022,January,3,3351.0,3323.21,3414.07,3368.6400000000003,3408.09,3193456
2022-01-04,2022,January,4,3408.76,3326.99,3428.0,3377.495,3350.44,3536257
2022-01-05,2022,January,5,3337.66,3287.14,3342.525,3314.8325,3287.14,3215135
2022-01-06,2022,January,6,3269.01,3238.744,3296.0,3267.3720000000003,3265.08,2597888
2022-01-07,2022,January,7,3276.78,3240.62,3304.865,3272.7425,3251.08,2330294
2022-01-10,2022,January,10,3211.71,3126.09,3233.23,3179.66,3229.72,4389914
2022-01-11,2022,January,11,3230.0,3214.03,3327.0,3270.5150000000003,3307.24,3140278
2022-01-12,2022,January,12,3331.5,3288.34,3337.56,3312.95,3304.14,2501455
2022-01-13,2022,January,13,3305.01,3221.82,3324.43,3273.125,3224.28,2609414
2022-01-14,2022,January,14,3203.0,3196.01,3245.0,3220.505,3242.76,2298742
2022-01-18,2022,January,18,3182.1,3153.29,3194.69,3173.99,3178.35,3372071
2022-01-19,2022,January,19,3175.24,3125.0,3185.0,3155.0,3125.98,2662095
2022-01-20,2022,January,20,3135.32,3027.02,3160.0,3093.51,3033.35,3598665
2022-01-21,2022,January,21,2999.0,2841.408,3018.0,2929.7039999999997,2852.86,8198571
2022-01-24,2022,January,24,2780.0,2707.04,2898.9,2802.9700000000003,2890.88,7802236
2022-01-25,2022,January,25,2844.85,2762.9,2872.0,2817.45,2799.72,4541232
2022-01-26,2022,January,26,2895.0,2746.37,2903.695,2825.0325000000003,2777.45,4780084
2022-01-27,2022,January,27,2816.0,2787.0,2884.87,2835.935,2792.75,3875789
2022-01-28,2022,January,28,2817.21,2758.585,2879.96,2819.2725,2879.56,3719598
2022-01-31,2022,January,31,2895.0,2886.01,3007.21,2946.61,2991.47,3915371
2022-02-01,2022,February,1,3000.0,2952.555,3034.16,2993.3575,3023.87,2960991
2022-02-02,2022,February,2,3101.009,2977.272,3101.5,3039.386,3012.25,4366487
2022-02-03,2022,February,3,2834.75,2766.66,2884.95,2825.805,2776.91,11276569
2022-02-04,2022,February,4,3112.13,3012.16,3224.0,3118.08,3152.79,12672789
2022-02-07,2022,February,7,3170.4,3145.0,3253.815,3199.4075000000003,3158.71,5131218
2022-02-08,2022,February,8,3135.01,3111.01,3235.85,3173.4300000000003,3228.27,3802017
2022-02-09,2022,February,9,3257.47,3205.0,3276.69,3240.8450000000003,3223.79,3439279
2022-02-10,2022,February,10,3167.0,3155.0,3214.33,3184.665,3180.07,3413405
2022-02-11,2022,February,11,3162.69,3054.675,3180.0,3117.3375,3065.87,3855021
2022-02-14,2022,February,14,3035.02,3033.0,3168.966,3100.983,3103.34,4161534
2022-02-15,2022,February,15,3152.11,3092.75,3160.14,3126.4449999999997,3130.21,2848532
2022-02-16,2022,February,16,3115.81,3094.69,3176.68,3135.685,3162.01,2635213
2022-02-17,2022,February,17,3162.92,3090.0,3206.975,3148.4875,3093.05,3201624
2022-02-18,2022,February,18,3109.99,3017.86,3109.99,3063.925,3052.03,3180204
2022-02-22,2022,February,22,3009.57,2969.71,3059.65,3014.6800000000003,3003.95,3306411
2022-02-23,2022,February,23,3033.01,2893.02,3035.26,2964.1400000000003,2896.54,3212177
2022-02-24,2022,February,24,2796.75,2790.0,3034.98,2912.49,3027.16,5039287
2022-02-25,2022,February,25,3011.0,2984.27,3079.8,3032.035,3075.77,3119767
2022-02-28,2022,February,28,3048.5,3017.0,3089.0,3053.0,3071.26,2884170
2022-03-01,2022,March,1,3054.65,2999.54,3081.98,3040.76,3022.84,2243678
2022-03-02,2022,March,2,3016.98,2975.0,3059.99,3017.495,3041.05,2366735
2022-03-03,2022,March,3,3070.63,2937.12,3078.58,3007.85,2957.97,3259859
2022-03-04,2022,March,4,2943.18,2876.14,2957.0,2916.5699999999997,2912.82,3049155
2022-03-07,2022,March,7,2908.87,2748.33,2921.89,2835.1099999999997,2749.06,4346692
2022-03-08,2022,March,8,2733.67,2671.45,2813.99,2742.72,2720.29,4583128
2022-03-09,2022,March,9,2790.0,2736.56,2805.0,2770.7799999999997,2785.58,4132832
2022-03-10,2022,March,10,2913.7,2879.56,2973.485,2926.5225,2936.35,6753144
2022-03-11,2022,March,11,2991.49,2907.38,2993.5,2950.44,2910.49,3445027
2022-03-14,2022,March,14,2919.62,2817.68,2949.0,2883.34,2837.06,3704304
2022-03-15,2022,March,15,2857.0,2840.0,2959.7,2899.85,2947.33,3779229
2022-03-16,2022,March,16,2970.0,2947.07,3063.0,3005.035,3062.08,4247883
2022-03-17,2022,March,17,3052.81,3042.8,3149.97,3096.385,3144.78,3646741
2022-03-18,2022,March,18,3136.26,3120.22,3231.88,3176.05,3225.01,5148137
2022-03-21,2022,March,21,3222.415,3191.06,3261.68,3226.37,3229.83,3326875
2022-03-22,2022,March,22,3236.11,3233.98,3323.34,3278.66,3297.78,3204305
