Date,Year,Month,Day,Open Price,Low Price,High Price,AVG Price,Close Price,Volume
2022-01-03,2022,January,3,58.82,58.375,59.31,58.8425,59.3,20188377.0
2022-01-04,2022,January,4,59.73,59.59,60.535,60.0625,60.29,26141584.0
2022-01-05,2022,January,5,60.09,60.05,61.195,60.6225,60.79,22507262.0
2022-01-06,2022,January,6,60.465,60.435,61.115,60.775000000000006,60.47,17902345.0
2022-01-07,2022,January,7,60.275,60.06,60.72,60.39,60.33,12307896.0
2022-01-10,2022,January,10,60.55,60.18,60.82,60.5,60.43,20954345.0
2022-01-11,2022,January,11,60.43,59.84,60.49,60.165000000000006,60.45,17591613.0
2022-01-12,2022,January,12,60.53,60.19,60.685,60.4375,60.54,15753809.0
2022-01-13,2022,January,13,60.54,60.385,61.04,60.7125,60.9,14317992.0
2022-01-14,2022,January,14,60.94,60.36,61.45,60.905,61.39,19729632.0
2022-01-18,2022,January,18,61.06,60.45,61.19,60.82,60.9,20616874.0
2022-01-19,2022,January,19,60.66,60.555,61.18,60.8675,61.0,18072085.0
2022-01-20,2022,January,20,61.0,60.72,61.44,61.08,60.75,23002353.0
2022-01-21,2022,January,21,61.08,60.3982,61.3,60.8491,60.45,26643161.0
2022-01-24,2022,January,24,59.9,58.57,60.35,59.46,59.96,30207455.0
2022-01-25,2022,January,25,59.36,58.69,60.045,59.3675,59.82,19027109.0
2022-01-26,2022,January,26,59.79,59.21,60.345,59.7775,59.6,19190239.0
2022-01-27,2022,January,27,59.88,59.5,60.925,60.2125,59.65,18898682.0
2022-01-28,2022,January,28,59.39,58.94,60.89,59.915,60.84,19101494.0
2022-01-31,2022,January,31,60.3,60.15,61.14,60.644999999999996,61.01,22045321.0
2022-02-01,2022,February,1,60.91,60.16,61.14,60.65,60.56,20841657.0
2022-02-02,2022,February,2,60.62,60.56,61.27,60.915000000000006,61.18,20225579.0
2022-02-03,2022,February,3,60.94,60.585,61.78,61.182500000000005,61.61,19440490.0
2022-02-04,2022,February,4,61.49,60.57,61.68,61.125,60.96,17403729.0
2022-02-07,2022,February,7,61.38,60.86,61.72,61.29,61.6,17846411.0
2022-02-08,2022,February,8,61.83,61.74,62.325,62.0325,62.0,18771748.0
2022-02-09,2022,February,9,62.17,60.9,62.32,61.61,61.04,23595558.0
2022-02-10,2022,February,10,60.36,60.2,62.3,61.25,61.38,23561530.0
2022-02-11,2022,February,11,61.77,60.15,61.98,61.065,60.29,22781387.0
2022-02-14,2022,February,14,60.16,59.28,60.79,60.035,60.68,23641310.0
2022-02-15,2022,February,15,60.955,60.63,61.78,61.205,60.91,13409343.0
2022-02-16,2022,February,16,60.86,60.555,61.395,60.975,60.9,15484660.0
2022-02-17,2022,February,17,60.55,60.405,62.275,61.34,62.12,21468724.0
2022-02-18,2022,February,18,62.12,61.99,62.82,62.405,62.54,21975023.0
2022-02-22,2022,February,22,62.43,61.72,62.64,62.18,62.28,21521498.0
2022-02-23,2022,February,23,62.24,61.34,62.33,61.835,61.59,19248474.0
2022-02-24,2022,February,24,59.97,59.22,60.62,59.92,60.51,27207444.0
2022-02-25,2022,February,25,60.94,60.92,62.895,61.9075,62.85,21487796.0
2022-02-28,2022,February,28,61.65,61.41,62.335,61.8725,62.24,25879116.0
2022-03-01,2022,March,1,62.14,61.51,62.75,62.129999999999995,61.97,15871088.0
2022-03-02,2022,March,2,62.23,61.78,62.88,62.33,62.43,17319120.0
2022-03-03,2022,March,3,62.61,62.285,63.02,62.6525,62.47,21262797.0
2022-03-04,2022,March,4,61.46,61.2,62.59,61.895,62.57,17164633.0
2022-03-07,2022,March,7,62.01,60.72,62.07,61.394999999999996,61.08,29151418.0
2022-03-08,2022,March,8,61.45,58.59,61.54,60.065,58.66,30242133.0
2022-03-09,2022,March,9,59.82,58.66,59.84,59.25,58.96,23022696.0
2022-03-10,2022,March,10,58.48,57.5,58.66,58.08,57.88,20887284.0
2022-03-11,2022,March,11,57.96,57.86,58.85,58.355000000000004,57.92,19855646.0
2022-03-14,2022,March,14,57.97,57.97,59.035,58.5025,58.54,17799380.0
2022-03-15,2022,March,15,59.08,58.98,59.89,59.435,59.62,18607191.0
2022-03-16,2022,March,16,59.78,58.605,59.935,59.269999999999996,59.46,17347253.0
2022-03-17,2022,March,17,59.46,59.23,60.135,59.6825,60.09,15586228.0
2022-03-18,2022,March,18,60.3,59.705,60.3,60.0025,60.1,29304511.0
2022-03-21,2022,March,21,60.5,60.245,61.1,60.6725,60.58,17430567.0
2022-03-22,2022,March,22,60.93,60.055,60.95,60.5025,60.8,17306023.0
2022-03-23,2022,March,23,60.75,59.995,60.98,60.4875,60.4,15529244.0
2022-03-24,2022,March,24,60.64,60.455,61.02,60.7375,60.98,13151348.0
2022-03-25,2022,March,25,61.12,61.05,61.61,61.33,61.53,12064706.0
2022-03-28,2022,March,28,61.53,61.21,61.94,61.575,61.92,11485219.0
2022-03-29,2022,March,29,62.21,61.74,62.53,62.135000000000005,62.16,14720572.0
2022-03-30,2022,March,30,62.01,61.555,62.21,61.8825,62.21,13641002.0
2022-03-31,2022,March,31,62.22,62.0,62.64,62.32,62.0,16822902.0
2022-04-01,2022,April,1,62.33,62.085,62.95,62.5175,62.87,12644879.0
2022-04-04,2022,April,4,62.6,61.72,62.785,62.2525,62.54,11506554.0
2022-04-05,2022,April,5,62.4,62.37,63.235,62.802499999999995,62.47,15596185.0
2022-04-06,2022,April,6,62.77,62.3,63.26,62.78,63.1,19267420.0
2022-04-07,2022,April,7,63.13,62.711,63.67,63.1905,63.44,13960823.0
2022-04-08,2022,April,8,63.48,63.16,64.04,63.6,63.83,12703466.0
2022-04-11,2022,April,11,63.905,63.635,64.3,63.9675,63.81,12720105.0
2022-04-12,2022,April,12,64.38,63.89,64.805,64.3475,64.56,18089907.0
2022-04-13,2022,April,13,64.44,64.23,64.87,64.55000000000001,64.73,11882991.0
2022-04-14,2022,April,14,64.96,64.82,65.57,65.195,65.02,16388429.0
2022-04-18,2022,April,18,64.77,64.18,65.18,64.68,64.44,11679372.0
2022-04-19,2022,April,19,64.5,64.44,65.25,64.845,65.07,11993775.0
2022-04-20,2022,April,20,65.44,65.4,66.24,65.82,65.96,14682923.0
2022-04-21,2022,April,21,65.98,65.72,67.0,66.36,66.21,15120412.0
2022-04-22,2022,April,22,66.08,65.18,66.34,65.76,65.25,14902199.0
2022-04-25,2022,April,25,67.0,64.78,67.2,65.99000000000001,65.94,25082000.0
2022-04-26,2022,April,26,65.52,65.04,66.367,65.7035,65.05,21736142.0
2022-04-27,2022,April,27,65.0,65.0,66.28,65.64,65.56,16971010.0
2022-04-28,2022,April,28,64.66,64.5,66.28,65.39,66.19,22020524.0
2022-04-29,2022,April,29,65.87,64.49,66.03,65.25999999999999,64.61,20137147.0
2022-05-02,2022,May,2,65.28,62.58,65.31,63.945,63.44,24970311.0
2022-05-03,2022,May,3,63.72,62.67,63.94,63.305,63.08,21686339.0
2022-05-04,2022,May,4,63.0,62.94,65.12,64.03,65.03,19654974.0
2022-05-05,2022,May,5,64.69,64.01,65.03,64.52000000000001,64.51,20155236.0
