Date,Year,Month,Day,Open Price,Low Price,High Price,AVG Price,Close Price,Volume
2022-01-01,2022,January,1,154.93,154.9,154.93,154.91500000000002,154.91,5200
2022-01-03,2022,January,3,155.83,155.36,157.56,156.46,156.75,5873834
2022-01-04,2022,January,4,156.76,155.55,160.32,157.935,155.72,11924194
2022-01-05,2022,January,5,155.73,155.1,159.38,157.24,155.21,9268218
2022-01-06,2022,January,6,155.2,153.68,157.77,155.72500000000002,156.87,7144928
2022-01-07,2022,January,7,156.9,156.29,159.3,157.79500000000002,157.85,7275655
2022-01-08,2022,January,8,157.83,157.83,157.83,157.83,157.83,1781733
2022-01-10,2022,January,10,157.98,154.65,158.27,156.46,156.6,5294366
2022-01-11,2022,January,11,156.61,155.95,158.22,157.08499999999998,157.94,3872610
2022-01-12,2022,January,12,157.9,156.33,158.99,157.66000000000003,157.78,5285004
2022-01-13,2022,January,13,157.81,155.17,158.53,156.85,155.44,7623774
2022-01-14,2022,January,14,155.49,148.42,155.49,151.95499999999998,151.94,12124082
2022-01-15,2022,January,15,151.94,151.94,151.94,151.94,151.94,1014704
2022-01-18,2022,January,18,151.11,149.83,153.13,151.48000000000002,152.33,6320124
2022-01-19,2022,January,19,152.31,149.96,152.86,151.41000000000003,150.13,7388859
2022-01-20,2022,January,20,150.11,147.15,152.66,149.905,147.56,7456579
2022-01-21,2022,January,21,147.58,136.63,147.62,142.125,137.36,25309468
2022-01-22,2022,January,22,137.36,137.36,137.41,137.385,137.38,2824068
2022-01-24,2022,January,24,134.82,129.26,137.68,133.47,137.5,21940664
2022-01-25,2022,January,25,137.5,132.38,137.75,135.065,136.54,9922194
2022-01-26,2022,January,26,136.54,132.26,138.2,135.23,133.47,11722591
2022-01-27,2022,January,27,133.56,133.49,137.91,135.7,135.43,8084205
2022-01-28,2022,January,28,135.42,133.56,138.69,136.125,138.62,7017005
2022-01-29,2022,January,29,138.63,138.63,138.63,138.63,138.63,750887
