Date,Year,Month,Day,Open Price,Low Price,High Price,AVG Price,Close Price,Volume
2022-01-03,2022,January,3,605.609985,590.559998,609.98999,600.274994,597.369995,3067500
2022-01-04,2022,January,4,599.909973,581.599976,600.409973,591.0049745,591.150024,4393100
2022-01-05,2022,January,5,592.0,566.880005,592.840027,579.860016,567.52002,4148700
2022-01-06,2022,January,6,554.340027,542.01001,563.359985,552.6849975,553.289978,5711800
2022-01-07,2022,January,7,549.460022,538.219971,553.429993,545.824982,541.059998,3382900
2022-01-10,2022,January,10,538.48999,526.320007,543.690002,535.0050045,539.849976,4486100
2022-01-11,2022,January,11,536.98999,530.070007,543.909973,536.98999,540.840027,3077800
2022-01-12,2022,January,12,544.27002,532.02002,544.27002,538.14502,537.219971,3787400
2022-01-13,2022,January,13,537.059998,518.26001,540.789978,529.524994,519.200012,4475100
2022-01-14,2022,January,14,517.599976,511.880005,538.369995,525.125,525.690002,7861100
2022-01-18,2022,January,18,520.080017,508.679993,521.75,515.2149965,510.799988,4839100
2022-01-19,2022,January,19,515.0,510.51001,523.210022,516.860016,515.859985,4353500
2022-01-20,2022,January,20,517.75,506.929993,526.640015,516.785004,508.25,12659000
2022-01-21,2022,January,21,400.429993,379.98999,409.149994,394.56999199999996,397.5,58904300
2022-01-24,2022,January,24,383.910004,351.459991,387.26001,369.3600005,387.149994,32346000
2022-01-25,2022,January,25,379.140015,365.130005,387.709991,376.41999799999996,366.420013,15145800
2022-01-26,2022,January,26,378.269989,356.619995,382.660004,369.63999950000004,359.700012,12684000
2022-01-27,2022,January,27,382.059998,378.100006,394.799988,386.449997,386.700012,24324700
2022-01-28,2022,January,28,386.76001,372.079987,387.0,379.53999350000004,384.359985,11966600
2022-01-31,2022,January,31,401.970001,398.200012,427.700012,412.950012,427.140015,20047500
2022-02-01,2022,February,1,432.959991,425.540009,458.480011,442.01000999999997,457.130005,22568100
2022-02-02,2022,February,2,448.25,426.480011,451.980011,439.230011,429.480011,14346000
2022-02-03,2022,February,3,421.440002,404.279999,429.26001,416.7700045,405.600006,9905200
2022-02-04,2022,February,4,407.309998,396.640015,412.769989,404.70500200000004,410.170013,7789800
2022-02-07,2022,February,7,410.170013,393.549988,412.350006,402.949997,402.100006,8232900
2022-02-08,2022,February,8,398.179993,395.829987,406.609985,401.219986,403.529999,6818500
2022-02-09,2022,February,9,408.649994,398.790009,412.980011,405.88500999999997,412.890015,7738200
2022-02-10,2022,February,10,402.100006,396.359985,408.0,402.1799925,406.269989,8452900
2022-02-11,2022,February,11,405.329987,387.649994,411.609985,399.62998949999997,391.309998,7558900
2022-02-14,2022,February,14,387.589996,386.890015,409.359985,398.125,396.570007,7202200
2022-02-15,2022,February,15,403.790009,401.01001,409.160004,405.085007,407.459991,5392300
2022-02-16,2022,February,16,401.529999,390.380005,401.559998,395.97000149999997,398.079987,5277700
