Date,Year,Month,Day,Open Price,Low Price,High Price,AVG Price,Close Price,Volume
2022-01-03,2022,January,3,172.2,170.565,173.19,171.8775,172.98,5489586.0
2022-01-04,2022,January,4,172.66,172.2,174.45,173.325,173.23,4717843.0
2022-01-05,2022,January,5,173.355,173.23,175.36,174.29500000000002,173.82,6564551.0
2022-01-06,2022,January,6,173.91,173.2275,175.6,174.41375,173.86,4288788.0
2022-01-07,2022,January,7,174.09,172.61,174.69,173.65,174.08,4916044.0
2022-01-10,2022,January,10,174.4362,173.62,175.84,174.73000000000002,174.17,5056068.0
2022-01-11,2022,January,11,173.6841,171.62,174.23,172.925,174.09,6443762.0
2022-01-12,2022,January,12,173.9,172.95,174.33,173.64,173.9,5267988.0
2022-01-13,2022,January,13,173.71,173.24,174.6861,173.96305,174.18,4310283.0
2022-01-14,2022,January,14,174.57,173.4,175.94,174.67000000000002,175.64,4474579.0
2022-01-18,2022,January,18,173.62,173.15,174.76,173.95499999999998,173.96,5766125.0
2022-01-19,2022,January,19,173.96,173.57,175.96,174.765,175.21,6229784.0
2022-01-20,2022,January,20,175.41,173.84,176.88,175.36,173.94,6284161.0
2022-01-21,2022,January,21,175.3266,174.11,177.24,175.675,174.22,6753166.0
2022-01-24,2022,January,24,175.49,168.96,176.5,172.73000000000002,173.33,9272361.0
2022-01-25,2022,January,25,172.08,169.74,172.48,171.11,171.34,6536944.0
2022-01-26,2022,January,26,169.36,166.45,171.81,169.13,169.53,6841794.0
2022-01-27,2022,January,27,170.78,168.78,173.28,171.03,169.37,6545927.0
2022-01-28,2022,January,28,168.51,167.21,172.73,169.97,172.67,5796013.0
2022-01-31,2022,January,31,170.77,170.59,174.11,172.35000000000002,173.52,5908136.0
2022-02-01,2022,February,1,173.15,169.56,173.43,171.495,172.34,5952749.0
2022-02-02,2022,February,2,172.76,172.57,175.64,174.105,175.47,5766988.0
2022-02-03,2022,February,3,175.27,173.83,176.66,175.245,175.37,4632699.0
2022-02-04,2022,February,4,173.1,171.19,174.89,173.04,172.49,4592442.0
2022-02-07,2022,February,7,172.74,171.21,172.99,172.10000000000002,171.81,4813468.0
2022-02-08,2022,February,8,172.63,170.31,172.64,171.475,172.02,3957685.0
2022-02-09,2022,February,9,172.5,171.01,172.78,171.89499999999998,171.94,6780166.0
2022-02-10,2022,February,10,168.655,167.3,171.45,169.375,168.37,7899839.0
2022-02-11,2022,February,11,168.06,167.6901,170.31,169.00005,168.58,7299574.0
2022-02-14,2022,February,14,169.415,165.1,169.675,167.3875,166.7,6822570.0
2022-02-15,2022,February,15,167.217,165.261,168.25,166.75549999999998,165.96,4943851.0
2022-02-16,2022,February,16,165.63,164.54,167.195,165.8675,166.3,4161755.0
2022-02-17,2022,February,17,166.01,165.0,167.9523,166.47615000000002,166.75,5156836.0
2022-02-18,2022,February,18,167.11,166.22,168.235,167.22750000000002,167.71,5181629.0
2022-02-22,2022,February,22,168.57,166.23,168.94,167.58499999999998,168.35,7726480.0
2022-02-23,2022,February,23,169.12,166.52,169.12,167.82,166.69,5813018.0
2022-02-24,2022,February,24,165.71,160.285,166.34,163.3125,163.79,8888796.0
2022-02-25,2022,February,25,164.42,164.26,168.46,166.36,168.38,6535637.0
2022-02-28,2022,February,28,164.04,161.405,165.21,163.3075,163.74,7676988.0
2022-03-01,2022,March,1,163.07,161.3,164.4,162.85000000000002,162.27,5108127.0
2022-03-02,2022,March,2,162.98,162.49,165.82,164.155,164.52,5452091.0
2022-03-03,2022,March,3,163.97,162.8,165.19,163.995,163.27,5352221.0
2022-03-04,2022,March,4,162.0,160.92,166.5,163.70999999999998,165.75,6341095.0
2022-03-07,2022,March,7,164.07,162.13,165.15,163.64,162.45,6319483.0
2022-03-08,2022,March,8,162.38,157.69,163.97,160.82999999999998,157.87,6163724.0
2022-03-09,2022,March,9,159.81,156.4,160.06,158.23000000000002,157.4,5764927.0
2022-03-10,2022,March,10,155.79,153.37,156.25,154.81,154.51,6103671.0
2022-03-11,2022,March,11,155.45,153.48,156.885,155.1825,153.73,4762675.0
2022-03-14,2022,March,14,155.15,154.5,157.8,156.15,155.89,6075566.0
2022-03-15,2022,March,15,157.32,156.83,159.5,158.16500000000002,159.0,6203356.0
2022-03-16,2022,March,16,158.41,157.04,159.99,158.515,159.7,6299191.0
2022-03-17,2022,March,17,159.83,159.3,161.63,160.465,160.94,3587628.0
2022-03-18,2022,March,18,161.38,160.06,162.93,161.495,162.79,12040475.0
2022-03-21,2022,March,21,162.27,161.075,163.81,162.4425,162.56,5106391.0
2022-03-22,2022,March,22,162.84,162.23,164.77,163.5,164.34,5778394.0
2022-03-23,2022,March,23,164.248,162.63,165.275,163.9525,163.48,4533800.0
2022-03-24,2022,March,24,164.06,163.27,164.73,164.0,164.47,3160320.0
2022-03-25,2022,March,25,164.43,164.43,165.9,165.16500000000002,165.24,4084876.0
2022-03-28,2022,March,28,165.1,163.71,165.77,164.74,165.73,4308007.0
2022-03-29,2022,March,29,167.29,166.37,168.58,167.47500000000002,168.19,4440480.0
2022-03-30,2022,March,30,168.1,166.115,168.24,167.1775,167.96,3871556.0
2022-03-31,2022,March,31,168.37,167.27,169.3,168.28500000000003,167.38,6076177.0
2022-04-01,2022,April,1,167.89,167.37,169.93,168.65,169.76,3239641.0
2022-04-04,2022,April,4,169.11,167.45,169.39,168.42,169.32,3759985.0
2022-04-05,2022,April,5,168.32,168.32,171.38,169.85,169.5,3587439.0
2022-04-06,2022,April,6,169.92,169.485,172.7,171.0925,172.39,4294868.0
2022-04-07,2022,April,7,172.03,170.78,173.28,172.03,172.55,5041686.0
2022-04-08,2022,April,8,172.99,171.59,173.69,172.64,173.13,3883183.0
2022-04-11,2022,April,11,173.61,172.32,174.97,173.64499999999998,172.6,3825328.0
2022-04-12,2022,April,12,173.78,172.63,174.65,173.64,173.3,3924333.0
2022-04-13,2022,April,13,173.58,171.73,173.82,172.77499999999998,173.0,4394054.0
2022-04-14,2022,April,14,173.48,171.76,174.26,173.01,171.9,4834298.0
2022-04-18,2022,April,18,171.22,169.96,172.31,171.135,170.42,3086009.0
2022-04-19,2022,April,19,169.84,169.84,173.165,171.5025,172.9,3641992.0
2022-04-20,2022,April,20,173.72,173.72,175.97,174.845,175.47,4191266.0
2022-04-21,2022,April,21,175.76,174.65,177.24,175.945,174.84,3701297.0
2022-04-22,2022,April,22,174.99,171.94,175.27,173.60500000000002,172.15,5864027.0
2022-04-25,2022,April,25,173.21,171.0,173.92,172.45999999999998,173.74,7369911.0
2022-04-26,2022,April,26,173.97,172.73,175.3486,174.0393,173.3,7372662.0
2022-04-27,2022,April,27,173.42,173.19,176.69,174.94,174.85,5180479.0
2022-04-28,2022,April,28,174.53,173.82,177.62,175.72,177.5,5235831.0
2022-04-29,2022,April,29,177.41,171.41,177.41,174.41,171.71,6505570.0
2022-05-02,2022,May,2,172.995,165.27,173.46,169.365,167.76,7692131.0
2022-05-03,2022,May,3,169.14,166.58,169.31,167.945,167.99,5564864.0
2022-05-04,2022,May,4,167.61,167.61,174.12,170.865,173.86,6224120.0
2022-05-05,2022,May,5,173.1,169.08,173.32,171.2,170.39,6534321.0
2022-05-06,2022,May,6,169.24,168.72,170.8,169.76,170.41,5824752.0
2022-05-09,2022,May,9,169.66,168.76,172.885,170.8225,171.7,7269081.0
2022-05-10,2022,May,10,173.12,170.75,174.54,172.64499999999998,171.49,5936727.0
2022-05-11,2022,May,11,170.82,169.92,172.41,171.165,170.66,5376851.0
2022-05-12,2022,May,12,171.25,168.16,171.99,170.075,170.4,6473535.0
2022-05-13,2022,May,13,170.7,169.46,174.16,171.81,173.72,4714614.0
2022-05-16,2022,May,16,173.71,173.4201,176.3,174.86005,175.47,5317216.0
2022-05-17,2022,May,17,175.31,172.58,175.68,174.13,174.46,5012159.0
2022-05-18,2022,May,18,173.6855,162.92,173.87,168.39499999999998,163.65,8875409.0
2022-05-19,2022,May,19,162.5,159.6656,162.78,161.2228,161.2,6423817.0
2022-05-20,2022,May,20,162.24,159.62,163.06,161.34,162.21,5768823.0
2022-05-23,2022,May,23,164.21,163.57,166.95,165.26,165.6,4657761.0
2022-05-24,2022,May,24,166.02,165.1555,168.255,166.70524999999998,167.82,6327782.0
2022-05-25,2022,May,25,167.85,166.96,169.49,168.22500000000002,168.97,5781034.0
2022-05-26,2022,May,26,168.96,168.96,171.09,170.025,170.11,5193863.0
2022-05-27,2022,May,27,171.26,170.2,171.81,171.005,171.77,6713600.0
2022-05-31,2022,May,31,170.98,165.37,170.98,168.175,167.75,13609993.0
2022-06-01,2022,June,1,168.18,163.82,168.38,166.1,166.49,5613940.0
2022-06-02,2022,June,2,165.62,162.645,166.75,164.6975,166.68,4677458.0
2022-06-03,2022,June,3,165.859,164.36,166.59,165.47500000000002,164.85,4222131.0
2022-06-06,2022,June,6,166.46,164.725,167.62,166.1725,165.54,3447947.0
2022-06-07,2022,June,7,165.68,164.22,166.86,165.54000000000002,166.56,4168296.0
2022-06-08,2022,June,8,165.74,165.11,166.81,165.96,165.73,2646900.0
2022-06-09,2022,June,9,165.19,162.67,166.93,164.8,162.78,3522973.0
2022-06-10,2022,June,10,160.97,159.45,163.918,161.684,162.52,5204718.0
2022-06-13,2022,June,13,160.53,159.06,162.87,160.965,159.74,6300708.0
2022-06-14,2022,June,14,160.0,154.8576,160.05,157.4538,156.12,6159174.0
2022-06-15,2022,June,15,157.92,155.93,159.84,157.885,157.79,5940075.0
2022-06-16,2022,June,16,156.63,155.11,158.46,156.78500000000003,157.03,7207930.0
2022-06-17,2022,June,17,157.03,156.165,158.99,157.5775,157.06,9881835.0
2022-06-21,2022,June,21,158.17,157.35,160.96,159.155,160.71,4449779.0
2022-06-22,2022,June,22,160.33,159.56,162.99,161.275,162.03,4706643.0
2022-06-23,2022,June,23,163.78,163.15,165.14,164.14499999999998,164.1,5810719.0
2022-06-24,2022,June,24,165.64,163.94,166.19,165.065,166.13,5951692.0
2022-06-27,2022,June,27,165.87,165.34,167.13,166.235,166.35,4595815.0
2022-06-28,2022,June,28,167.15,163.85,168.45,166.14999999999998,164.01,4391330.0
2022-06-29,2022,June,29,166.06,165.35,167.56,166.45499999999998,166.73,3653622.0
2022-06-30,2022,June,30,167.13,165.63,167.58,166.60500000000002,166.66,6295089.0
2022-07-01,2022,July,1,166.74,165.76,169.52,167.64,169.39,3918710.0
2022-07-05,2022,July,5,168.63,165.33,169.39,167.36,169.01,4971671.0
2022-07-06,2022,July,6,170.0,169.48,171.95,170.71499999999997,170.7,4209229.0
2022-07-07,2022,July,7,169.52,169.38,171.04,170.20999999999998,170.36,5150219.0
2022-07-08,2022,July,8,170.57,170.55,172.7,171.625,171.88,3483014.0
2022-07-11,2022,July,11,171.41,170.02,172.8,171.41000000000003,170.47,4929822.0
2022-07-12,2022,July,12,173.0,168.87,173.32,171.095,169.5,5201629.0
2022-07-13,2022,July,13,168.54,167.98,171.44,169.70999999999998,170.1,4533125.0
2022-07-14,2022,July,14,168.29,167.7,171.1601,169.43005,170.98,4218307.0
2022-07-15,2022,July,15,171.34,170.02,172.92,171.47,171.12,4659092.0
2022-07-18,2022,July,18,171.15,167.85,171.24,169.54500000000002,168.26,3479707.0
2022-07-19,2022,July,19,170.25,168.6262,170.75,169.68810000000002,170.06,4201588.0
