Date,Year,Month,Day,Open Price,Low Price,High Price,AVG Price,Close Price,Volume
2022-01-03,2022,January,3,116.470001,114.779999,117.800003,116.290001,116.68,5475700
2022-01-04,2022,January,4,116.900002,114.169998,117.050003,115.61000050000001,114.239998,8367600
2022-01-05,2022,January,5,114.400002,110.400002,114.959999,112.6800005,110.440002,8662300
2022-01-06,2022,January,6,110.0,109.989998,111.879997,110.93499750000001,111.139999,6099900
2022-01-07,2022,January,7,108.220001,107.480003,109.709999,108.595001,107.57,11266400
2022-01-10,2022,January,10,106.620003,104.419998,107.010002,105.715,106.029999,8499400
2022-01-11,2022,January,11,106.040001,103.709999,106.169998,104.9399985,104.040001,13073200
2022-01-12,2022,January,12,104.440002,103.68,105.32,104.5,103.870003,11810500
2022-01-13,2022,January,13,104.150002,102.089996,104.669998,103.379997,102.400002,9818500
2022-01-14,2022,January,14,101.910004,99.089996,101.910004,100.5,100.120003,13703200
2022-01-18,2022,January,18,99.169998,97.510002,99.360001,98.4350015,97.730003,11396000
2022-01-19,2022,January,19,97.940002,96.779999,98.389999,97.58499900000001,96.870003,10856800
2022-01-20,2022,January,20,97.489998,95.589996,98.940002,97.264999,95.720001,20311500
2022-01-21,2022,January,21,95.900002,95.470001,98.410004,96.94000249999999,96.309998,13438300
2022-01-24,2022,January,24,94.75,94.410004,98.349998,96.380001,98.099998,17201400
2022-01-25,2022,January,25,96.669998,95.129997,98.089996,96.6099965,97.010002,12368500
2022-01-26,2022,January,26,97.699997,94.900002,98.639999,96.77000050000001,95.580002,11863000
2022-01-27,2022,January,27,96.620003,95.059998,97.169998,96.114998,95.32,7322200
2022-01-28,2022,January,28,95.059998,93.790001,97.220001,95.505001,97.209999,8345400
2022-01-31,2022,January,31,97.029999,96.419998,98.400002,97.41,98.32,8807700
2022-02-01,2022,February,1,98.419998,96.800003,99.029999,97.915001,98.760002,11601900
2022-02-02,2022,February,2,95.800003,94.739998,99.150002,96.945,97.730003,15578800
2022-02-03,2022,February,3,96.839996,95.669998,97.470001,96.5699995,95.940002,8901100
2022-02-04,2022,February,4,95.410004,93.830002,95.940002,94.885002,95.0,8267600
2022-02-07,2022,February,7,95.349998,94.879997,96.110001,95.494999,95.190002,6849000
2022-02-08,2022,February,8,95.290001,94.349998,96.029999,95.1899985,94.919998,7161000
